#Symbol	Count	Codeword
e	(3.7e+04)	011
t	(2.8e+04)	000
a	(2.4e+04)	1110
o	(2.2e+04)	1101
n	(2.1e+04)	1011
h	(2.1e+04)	1010
i	(2e+04)		1001
s	(1.9e+04)	1000
r	(1.7e+04)	0101
d	(1.5e+04)	0011
l	(1.2e+04)	11110
u	(7.9e+03)	01001
m	(7.8e+03)	01000
w	(7.1e+03)	00101
g	(6.9e+03)	00100
c	(6.7e+03)	111111
f	(6.6e+03)	111110
y	(5.6e+03)	110010
p	(5.3e+03)	110001
b	(4.6e+03)	110000
k	(2.5e+03)	1100110
v	(2.3e+03)	11001111
j	(4e+02)		1100111011
x	(3.5e+02)	1100111010
q	(2.2e+02)	1100111000
z	(1.6e+02)	11001110011
0	(40)		1100111001010
1	(33)		1100111001000
3	(16)		11001110010010
5	(12)		110011100101101
6	(12)		110011100101110
2	(10)		110011100100111
8	(10)		110011100101100
4	( 8)		1100111001011111
7	( 8)		110011100100110
9	( 7)		1100111001011110
